"","mental_health_consequence","phys_health_consequence","coworkers","supervisor","mental_health_interview","phys_health_interview","mental_vs_physical","obs_consequence"
"1","No","No","Some of them","Yes","No","Maybe","Yes","No"
"2","Maybe","No","No","No","No","No","Don't know","No"
"3","No","No","Yes","Yes","Yes","Yes","No","No"
"4","Yes","Yes","Some of them","No","Maybe","Maybe","No","Yes"
"5","No","No","Some of them","Yes","Yes","Yes","Don't know","No"
"6","No","No","Yes","Yes","No","Maybe","Don't know","No"
"7","Maybe","Maybe","Some of them","No","No","No","Don't know","No"
"8","No","No","No","No","No","No","No","No"
"9","Maybe","No","Yes","Yes","No","Maybe","No","No"
"10","No","No","Yes","Yes","Maybe","Maybe","Yes","No"
"11","No","No","Some of them","Yes","No","No","Don't know","No"
"12","No","No","Yes","Yes","Yes","Yes","Don't know","No"
"13","Yes","Yes","Yes","Yes","Maybe","Maybe","No","Yes"
"14","No","No","Yes","Yes","No","No","Don't know","No"
"15","No","No","Some of them","Some of them","Maybe","Yes","Yes","No"
"16","No","No","Yes","Some of them","Maybe","Maybe","Don't know","No"
"17","Maybe","No","Some of them","No","Maybe","Maybe","No","No"
"18","Maybe","No","Some of them","Yes","No","No","No","No"
"19","No","No","Yes","Yes","No","Yes","Yes","Yes"
"20","No","No","Some of them","Some of them","Maybe","Maybe","Don't know","No"
"21","Maybe","No","Some of them","Some of them","No","No","No","No"
"22","No","No","Some of them","Some of them","No","Maybe","Yes","No"
"23","Maybe","No","Some of them","Yes","No","Maybe","No","No"
"24","Maybe","No","No","No","No","Yes","Don't know","No"
"25","No","No","Yes","Yes","No","Yes","Don't know","No"
"26","Yes","No","Some of them","Yes","No","Yes","No","No"
"27","Maybe","Maybe","Some of them","No","No","No","Don't know","No"
"28","No","No","Yes","Yes","Maybe","Maybe","Yes","No"
"29","No","No","Some of them","No","No","No","No","No"
"30","Yes","Maybe","Some of them","No","No","Maybe","No","No"
"31","Yes","Yes","Some of them","Some of them","No","Maybe","No","No"
"32","Yes","No","No","No","No","No","No","Yes"
"33","Maybe","No","Some of them","Yes","No","Yes","Don't know","No"
