"","self_employed","no_employees","remote_work","tech_company"
"1","NA","6-25","No","Yes"
"2","NA","More than 1000","No","No"
"3","NA","6-25","No","Yes"
"4","NA","26-100","No","Yes"
"5","NA","100-500","Yes","Yes"
"6","NA","6-25","No","Yes"
"7","NA","1-5","Yes","Yes"
"8","NA","1-5","Yes","Yes"
"9","NA","100-500","No","Yes"
"10","NA","26-100","No","Yes"
"11","NA","6-25","Yes","Yes"
"12","NA","100-500","Yes","Yes"
"13","NA","26-100","No","No"
"14","NA","500-1000","No","Yes"
"15","NA","6-25","No","Yes"
"16","NA","26-100","No","Yes"
"17","NA","26-100","Yes","Yes"
"18","NA","6-25","No","Yes"
"19","Yes","1-5","Yes","Yes"
"20","Yes","6-25","Yes","Yes"
"21","No","100-500","No","Yes"
"22","Yes","1-5","Yes","Yes"
"23","No","26-100","Yes","Yes"
"24","No","More than 1000","No","No"
"25","No","26-100","No","Yes"
"26","No","More than 1000","No","No"
"27","No","1-5","No","Yes"
"28","No","6-25","Yes","Yes"
"29","No","26-100","Yes","Yes"
"30","No","6-25","No","Yes"
"31","No","6-25","Yes","Yes"
"32","Yes","1-5","Yes","Yes"
"33","No","500-1000","Yes","Yes"
"34","No","26-100","Yes","Yes"
"35","No","1-5","No","Yes"
"36","No","6-25","No","Yes"
"37","No","1-5","No","Yes"
"38","No","100-500","No","Yes"
"39","No","100-500","No","Yes"
"40","No","More than 1000","Yes","Yes"
"41","No","6-25","No","Yes"
"42","No","More than 1000","Yes","Yes"
"43","No","1-5","No","Yes"
"44","No","6-25","No","Yes"
"45","No","26-100","No","Yes"
"46","No","26-100","No","Yes"
"47","No","26-100","No","Yes"
"48","No","6-25","No","Yes"
"49","Yes","1-5","No","Yes"
"50","No","26-100","No","Yes"
"51","No","6-25","No","Yes"
"52","No","100-500","Yes","Yes"
"53","No","100-500","Yes","Yes"
"54","No","1-5","Yes","Yes"
"55","No","100-500","No","Yes"
"56","No","26-100","No","Yes"
"57","No","6-25","Yes","Yes"
"58","No","26-100","Yes","Yes"
"59","No","26-100","No","No"
"60","No","6-25","Yes","Yes"
